file,epoch,train_loss,val_loss,Se,Sp,F1,ACC,AUC,epoch_time_s
logs_drive.txt,36,0.0972,0.0763,0.7752,0.9866,0.8055,0.9693,0.9873,27.3
logs_drive.txt,37,0.0983,0.0757,0.8012,0.9845,0.8113,0.9694,0.9872,27.2
logs_drive.txt,38,0.0972,0.0755,0.77,0.9873,0.8054,0.9695,0.987,28.1
logs_drive.txt,39,0.0986,0.0746,0.8024,0.9848,0.8136,0.9698,0.9874,27.3
logs_drive.txt,40,0.0971,0.0763,0.7692,0.9872,0.8044,0.9693,0.9867,27.1
logs_stare_final.txt,1,0.2171,0.1296,0.5681,0.9862,0.6508,0.9561,0.9442,26.4
logs_stare_final.txt,2,0.1514,0.1084,0.6136,0.9895,0.7017,0.9624,0.9625,25.6
logs_stare_final.txt,3,0.1393,0.1112,0.6616,0.9828,0.7028,0.9597,0.9596,25.8
logs_stare_final.txt,4,0.1303,0.103,0.6067,0.9916,0.7077,0.9639,0.9647,25.9
logs_stare_final.txt,5,0.1232,0.0999,0.596,0.9932,0.7078,0.9645,0.9688,25.9
logs_stare_final.txt,6,0.1184,0.0932,0.6592,0.99,0.7372,0.9661,0.9719,25.8
logs_stare_final.txt,7,0.1148,0.1002,0.5739,0.9934,0.6919,0.9632,0.9687,26.0
logs_stare_final.txt,8,0.1121,0.0901,0.647,0.9919,0.7388,0.967,0.9738,26.0
logs_stare_final.txt,9,0.1109,0.0865,0.7006,0.9887,0.7591,0.968,0.9738,26.3
logs_stare_final.txt,10,0.1034,0.0779,0.7326,0.989,0.7819,0.9706,0.9818,25.6
logs_stare_final.txt,11,0.1022,0.0788,0.7211,0.9887,0.7725,0.9694,0.9818,25.9
logs_stare_final.txt,12,0.0981,0.0767,0.7392,0.9886,0.7836,0.9706,0.9817,25.9
logs_stare_final.txt,13,0.0996,0.0798,0.751,0.9871,0.7834,0.9701,0.9792,25.9
logs_stare_final.txt,14,0.0986,0.0809,0.7016,0.9895,0.7637,0.9687,0.9813,26.0
logs_stare_final.txt,15,0.0965,0.0808,0.6926,0.9898,0.7596,0.9684,0.9812,26.0
logs_stare_final.txt,16,0.0945,0.0877,0.7267,0.9871,0.768,0.9684,0.9726,26.0
logs_stare_final.txt,17,0.0955,0.0771,0.8029,0.9829,0.7938,0.9699,0.9829,26.3
logs_stare_final.txt,18,0.0917,0.0856,0.6915,0.9901,0.7601,0.9685,0.9782,25.7
logs_stare_final.txt,19,0.0989,0.0754,0.7743,0.9861,0.7928,0.9708,0.9834,26.0
logs_stare_final.txt,20,0.0933,0.0752,0.769,0.9858,0.7882,0.9702,0.9838,26.1
logs_stare_final.txt,21,0.0917,0.0774,0.755,0.9867,0.7838,0.97,0.9822,26.0
logs_stare_final.txt,22,0.091,0.0799,0.7219,0.99,0.7799,0.9706,0.9806,25.9
logs_stare_final.txt,23,0.0894,0.0735,0.7715,0.9873,0.7974,0.9718,0.9848,26.4
logs_stare_final.txt,24,0.0898,0.0717,0.7602,0.989,0.7995,0.9725,0.9847,25.7
logs_stare_final.txt,25,0.0915,0.0718,0.7556,0.9892,0.7978,0.9724,0.9851,26.4
logs_stare_final.txt,26,0.0891,0.0765,0.7184,0.991,0.7831,0.9713,0.9822,25.5
logs_stare_final.txt,27,0.0913,0.0737,0.7257,0.991,0.7881,0.9719,0.9833,26.1
logs_stare_final.txt,28,0.0895,0.0732,0.742,0.9895,0.7904,0.9716,0.9852,25.8
logs_stare_final.txt,29,0.0849,0.0738,0.751,0.9883,0.7897,0.9712,0.9846,26.6
logs_stare_final.txt,30,0.0848,0.0824,0.7786,0.9823,0.7763,0.9677,0.9816,26.0
logs_stare_final.txt,31,0.088,0.0736,0.789,0.9853,0.7974,0.9711,0.9849,26.3
logs_stare_final.txt,32,0.0852,0.0759,0.7034,0.9915,0.776,0.9707,0.9854,25.8
logs_stare_final.txt,33,0.0852,0.0743,0.7146,0.9914,0.7828,0.9714,0.9848,25.9
logs_stare_final.txt,34,0.085,0.0718,0.7381,0.9908,0.7952,0.9726,0.9857,25.7
logs_stare_rerun.txt,1,0.215,0.1317,0.6882,0.9763,0.6905,0.9556,0.9421,12.2
logs_stare_rerun.txt,2,0.1514,0.1088,0.6449,0.9854,0.7037,0.9609,0.9614,11.8
logs_stare_rerun.txt,3,0.1344,0.1084,0.6352,0.9846,0.6929,0.9594,0.9647,11.8
logs_stare_rerun.txt,4,0.1268,0.1005,0.6845,0.9836,0.722,0.962,0.9691,11.9
logs_stare_rerun.txt,5,0.1209,0.097,0.6517,0.9877,0.72,0.9635,0.9698,11.9
logs_stare_rerun.txt,6,0.1172,0.0891,0.7306,0.9837,0.7531,0.9655,0.9766,11.8
logs_stare_rerun.txt,7,0.1133,0.103,0.5721,0.9937,0.6918,0.9633,0.9682,11.8
logs_stare_rerun.txt,8,0.1113,0.0838,0.7483,0.9864,0.7781,0.9693,0.9777,11.9
logs_stare_rerun.txt,9,0.1073,0.0859,0.7577,0.9828,0.7657,0.9666,0.9783,11.9
logs_stare_rerun.txt,10,0.1008,0.0827,0.6808,0.9915,0.7607,0.9691,0.9789,11.9
logs_stare_rerun.txt,11,0.1005,0.0807,0.6883,0.9915,0.7658,0.9697,0.9807,11.8
logs_stare_rerun.txt,12,0.0995,0.085,0.7319,0.9868,0.7696,0.9684,0.9776,11.9
logs_stare_rerun.txt,13,0.0996,0.0807,0.7151,0.9896,0.7734,0.9698,0.9799,11.8
logs_stare_rerun.txt,14,0.0965,0.0821,0.7223,0.9872,0.7654,0.9681,0.9802,11.9
logs_stare_rerun.txt,15,0.092,0.0751,0.7345,0.9901,0.7887,0.9716,0.9829,11.9
logs_stare_rerun.txt,16,0.0962,0.0765,0.7707,0.9854,0.7871,0.97,0.984,11.9
logs_stare_rerun.txt,17,0.0957,0.0717,0.7237,0.9914,0.7889,0.9721,0.9853,11.9
logs_stare_rerun.txt,18,0.0918,0.0751,0.7298,0.9905,0.7879,0.9717,0.9825,11.9
logs_stare_rerun.txt,19,0.0905,0.0717,0.7675,0.9881,0.7992,0.9722,0.9857,12.0
logs_stare_rerun.txt,20,0.0889,0.0786,0.7633,0.9865,0.7882,0.9704,0.9816,12.1
logs_stare_rerun.txt,21,0.0909,0.0706,0.7525,0.9899,0.7994,0.9728,0.9855,12.0
logs_stare_rerun.txt,22,0.0896,0.0829,0.672,0.9921,0.7576,0.969,0.9805,12.0
logs_stare_rerun.txt,23,0.0901,0.1158,0.6791,0.9842,0.7217,0.9623,0.9484,12.0
logs_stare_rerun.txt,24,0.0882,0.069,0.7608,0.9897,0.8037,0.9732,0.9856,12.0
logs_stare_rerun.txt,25,0.0886,0.0749,0.7354,0.9894,0.7857,0.9711,0.9831,12.1
